query_id,frame_id,is_relevant
Q1,cathal__day4__18_0018,1
Q1,luca__day2__08_0544,1
Q1,luca__day2__08_0589,1
Q1,luca__day2__09_0461,1
Q1,luca__day4__08_0433,1
Q1,luca__day4__09_0393,1
Q10,florian__day2__09_0414,1
Q2,cathal__day1__12_0551,1
Q2,florian__day2__10_0253,1
Q2,klaus__day3__09_0320,1
Q2,werner__day1__08_0386,1
Q2,werner__day1__08_0478,1
Q2,werner__day1__08_0572,1
Q2,werner__day1__09_0644,1
Q2,werner__day1__12_0264,1
Q2,werner__day4__09_0012,1
Q3,cathal__day1__12_0545,1
Q3,florian__day1__16_0070,1
Q3,florian__day3__10_0407,1
Q3,werner__day2__20_0323,1
Q4,cathal__day1__09_0170,1
Q4,cathal__day1__14_0407,1
Q4,cathal__day2__11_0454,1
Q4,cathal__day2__11_0483,1
Q4,cathal__day2__11_0504,1
Q4,cathal__day3__20_0358,1
Q4,cathal__day3__20_0417,1
Q4,florian__day2__19_0622,1
Q4,florian__day3__14_0634,1
Q4,luca__day2__19_0594,1
Q4,meeting__day3__14_0462,1
Q4,tien__day1__14_0195,1
Q5,bjorn__day1__20_0165,1
Q5,cathal__day3__20_0364,1
Q5,florian__day1__14_0696,1
Q5,florian__day1__17_0558,1
Q5,luca__day1__14_0715,1
Q5,luca__day3__12_0131,1
Q5,onanong__day1__14_0652,1
Q5,onanong__day1__15_0067,1
Q5,tien__day1__15_0006,1
Q5,tien__day1__15_0106,1
Q6,allie__day4__10_0198,1
Q6,allie__day4__10_0200,1
Q6,allie__day4__10_0206,1
Q6,bao__day4__10_0055,1
Q6,bao__day4__10_0431,1
Q6,florian__day3__15_0590,1
Q6,klaus__day2__18_0690,1
Q6,living2__day4__12_0541,1
Q6,luca__day1__08_0005,1
Q6,luca__day1__08_0008,1
Q6,luca__day1__08_0069,1
Q6,luca__day4__18_0481,1
Q6,luca__day4__18_0497,1
Q8,bjorn__day2__16_0209,1
Q8,bjorn__day2__16_0231,1
Q8,bjorn__day2__16_0248,1
Q8,bjorn__day2__16_0251,1
Q8,cathal__day4__17_0603,1
Q8,florian__day3__16_0219,1
Q8,luca__day2__15_0671,1
Q8,luca__day2__15_0682,1
Q8,luca__day2__15_0707,1
Q8,luca__day2__16_0009,1
Q8,luca__day2__16_0024,1
Q9,bjorn__day2__12_0429,1
Q9,onanong__day2__18_0229,1
Q7,bao__day4__18_0120,1
Q7,stevan__day4__18_0161,1
Q7,allie__day3__11_0045,1
